,player,points,datetime
0,T.Harris,21.5,2020-02-27 16:20:54.125890
1,A.Horford,14.5,2020-02-27 16:20:54.125890
2,J.Richardson,16.5,2020-02-27 16:20:54.125890
3,R.Barrett,14.5,2020-02-27 16:20:54.125890
4,J.Randle,19.5,2020-02-27 16:20:54.125890
5,E.Payton,11.5,2020-02-27 16:20:54.125890
6,M.Turner,11.5,2020-02-27 16:20:54.125890
7,T.J.Warren,18.5,2020-02-27 16:20:54.125890
8,M.Brogdon,16.5,2020-02-27 16:20:54.125890
9,D.Sabonis,19.5,2020-02-27 16:20:54.125890
10,C.Anthony,16.5,2020-02-27 16:20:54.125890
11,C.J.McCollum,27.5,2020-02-27 16:20:54.125890
12,H.Whiteside,17.5,2020-02-27 16:20:54.125890
13,S.Adams,11.5,2020-02-27 16:20:54.125890
14,D.Schroder,18.5,2020-02-27 16:20:54.125890
15,C.Paul,17.5,2020-02-27 16:20:54.125890
16,S.Gilgeous-Alexander,19.5,2020-02-27 16:20:54.125890
17,D.Gallinari,19.5,2020-02-27 16:20:54.125890
18,B.Hield,17.5,2020-02-27 16:20:54.125890
19,Bog.Bogdanovic,14.5,2020-02-27 16:20:54.125890
20,H.Barnes,13.5,2020-02-27 16:20:54.125890
21,N.Bjelica,10.5,2020-02-27 16:20:54.125890
22,D.Fox,20.5,2020-02-27 16:20:54.125890
23,D.Green,8.5,2020-02-27 16:20:54.125890
24,E.Paschall,12.5,2020-02-27 16:20:54.125890
25,A.Wiggins,21.5,2020-02-27 16:20:54.125890
26,D.Lee,14.5,2020-02-27 16:20:54.125890
27,K.Kuzma,16.5,2020-02-27 16:20:54.125890
28,A.Bradley,9.5,2020-02-27 16:20:54.125890
29,A.Davis,30.5,2020-02-27 16:20:54.125890
